link,judul,tanggal,portal
https://suryatravel.tribunnews.com/2021/09/08/kerepotan-aplikasi-peduli-lindungi-warga-kota-madiun-mulai-padati-mal,Kerepotan Aplikasi Peduli Lindungi Warga Kota Madiun Mulai Padati Mal,2021-09-08,Tribunnews.com
https://jatim.tribunnews.com/2021/09/08/pengunjung-mulai-padati-mal-kota-madiun-masih-kesulitan-gunakan-aplikasi-peduli-lindungi,"Pengunjung Mulai Padati Mal Kota Madiun, Masih Kesulitan Gunakan Aplikasi Peduli Lindungi",2021-09-08,Tribunjatim.com
https://www.antarafoto.com/id/view/1474902/uji-coba-aplikasi-peduli-lindungi-di-stasiun-bekasi-timur,UJI COBA APLIKASI PEDULI LINDUNGI DI STASIUN BEKASI TIMUR,2021-09-07,ANTARA Foto
https://www.bankinfosecurity.com/two-data-leaks-reported-in-indonesias-covid-19-tracing-apps-a-17478,2 Data Leaks Reported in Indonesia's COVID-19 Tracking Apps,2021-09-07,GovInfoSecurity
https://www.antarafoto.com/es/view/1474906/uji-coba-aplikasi-peduli-lindungi-di-stasiun-bekasi-timur,UJI COBA APLIKASI PEDULI LINDUNGI DI STASIUN BEKASI TIMUR,2021-09-07,ANTARA Foto
https://depok.tribunnews.com/2021/09/06/kai-commuter-uji-coba-aplikasi-peduli-lindungi-di-11-stasiun-kereta-termasuk-stasiun-depok,KAI Commuter Uji Coba Aplikasi Peduli Lindungi di 11 Stasiun Kereta Termasuk Stasiun Depok,2021-09-06,depok.tribunnews.com
https://betanews.id/2021/09/pengunjung-tempat-wisata-di-kudus-belum-diwajibkan-gunakan-aplikasi-peduli-lindungi.html,Pengunjung Tempat Wisata di Kudus Belum Diwajibkan Gunakan Aplikasi Peduli Lindungi,2021-09-03,Betanews.id
https://seputarperak.com/baca-25172-kapolda-jatim-cek-vaksinasi-dan-barcode-peduli-lindungi-di-mall-surabaya,Kapolda Jatim Cek Vaksinasi dan Barcode Peduli Lindungi di Mall Surabaya,2021-09-02,Polres Pelabuhan Tanjung Perak
https://makassar.tribunnews.com/2021/09/02/masuk-nipah-mal-wajib-unduh-aplikasi-peduli-lindungi-belum-vaksin-bisa-masuk,"Masuk Nipah Mal Wajib Unduh Aplikasi Peduli Lindungi, Belum Vaksin Bisa Masuk?",2021-09-02,Tribun-timur.com
https://hackread.com/indonesian-govts-covid-19-test-trace-app-data-leak/,"Indonesian Govt’s COVID-19 test, trace app leak impacting 1.3m users",2021-09-01,Hackread
https://jatimtimes.com/baca/248887/20210901/124800/beli-tiket-di-loket-penumpang-ka-lokal-turut-dicek-pakai-aplikasi-peduli-lindungi,"Beli Tiket di Loket, Penumpang KA Lokal Turut Dicek Pakai Aplikasi Peduli Lindungi",2021-09-01,Jatimtimes
https://beritalubuklinggau.com/pelayanan-swab-antigen-swab-pcr-ar-bunda-terintegrasi-indonesia-health-alert-card-peduli-lindungi/,Pelayanan Swab Antigen & Swab PCR AR Bunda terintegrasi Indonesia Health Alert Card & Peduli lindungi,2021-08-31,beritalubuklinggau.com
https://www.antaranews.com/berita/2362958/bandara-juanda-buka-layanan-tes-antigen-tanpa-turun,Bandara Juanda buka layanan tes antigen tanpa turun,2021-08-31,ANTARA News
https://solo.suaramerdeka.com/solo-raya/pr-051013768/bst-dioperasikan-satu-orang-pemkot-surakarta-kaji-penggunaan-peduli-lindungi-di-transportasi-publik,"BST Dioperasikan Satu Orang, Pemkot Surakarta Kaji Penggunaan Peduli Lindungi di Transportasi Publik - Suara Merdeka Solo",2021-08-31,Suara Merdeka Solo
https://jombangupdate.pikiran-rakyat.com/nasional/pr-622491430/cara-cek-sertifikat-vaksin-covid-19-halal-mui-di-aplikasi-peduli-lindungi-download-tanpa-cetak-online?page=all,"Cara Cek Sertifikat Vaksin Covid-19 Halal MUI di Aplikasi Peduli Lindungi, Download Tanpa Cetak Online - Jombang Update",2021-08-30,Jombang Update
https://jnewsonline.com/kai-integrasikan-layanan-kereta-api-dengan-aplikasi-pedulilindungi/,KAI Integrasikan Layanan Kereta Api dengan Aplikasi PeduliLindungi,2021-08-30,JNEWS Online
https://rm.id/baca-berita/ekonomi-bisnis/88958/stasiun-gambir-dan-pasar-senen-integrasikan-tiket-dengan-aplikasi-peduli-lindungi,Stasiun Gambir Dan Pasar Senen Integrasikan Tiket Dengan Aplikasi Peduli Lindungi,2021-08-29,RM.ID
https://altumnews.com/2021/08/29/asdp-integrasikan-layanan-tiket-online-ferizy-dengan-aplikasi-pedulilindungi/,ASDP Integrasikan Layanan Tiket Online Ferizy dengan Aplikasi PeduliLindungi,2021-08-29,Altumnews.com
https://www.medianasional.id/asdp-integrasikan-layanan-tiket-online-ferizy-dengan-aplikasi-pedulilindungi/,ASDP Integrasikan Layanan Tiket Online Ferizy dengan Aplikasi PeduliLindungi,2021-08-29,medianasional.id
https://metro.tempo.co/read/1500105/layanan-kai-terhubung-pedulilindungi-yang-belum-vaksin-tak-bisa-naik-kereta,"Layanan KAI Terhubung PeduliLindungi, yang Belum Vaksin Tak Bisa Naik Kereta",2021-08-29,TEMPO.co
https://voi.id/ekonomi/79522/bandara-juanda-surabaya-implementasikan-aplikasi-pedulilindungi-kepada-penumpang,Bandara Juanda Surabaya Implementasikan Aplikasi PeduliLindungi kepada Penumpang,2021-08-27,VOI.ID
